AphiaID_accepted,ScientificName_accepted,obis_records,inf_epi,plank_larv,biotic_SpeciesName,biotic_AphiaID,Phylum,Class,Order,Family,in_pres_abs_data,n_habs,rock,mud,sand,Other_species,coarse,Algae,Seagrass,Pelagic,Maerl,Strandline
117870,Abietinaria abietina,2100,Epifaunal,Yes,Abietinaria abietina,117870,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
141433,Abra alba,51782,Infaunal,Yes,Abra alba,141433,Mollusca,Bivalvia,Cardiida,Semelidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
100930,Actinauge richardi,92,Epifaunal,Yes,Actinauge richardi,100930,Cnidaria,Anthozoa,Actiniaria,Hormathiidae,FALSE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
445590,Adamsia palliata,575,Epifaunal,Yes,Adamsia carciniopados,100931,Cnidaria,Anthozoa,Actiniaria,Hormathiidae,TRUE,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
111597,Alcyonidium diaphanum,4120,Epifaunal,Yes,Alcyonidium diaphanum,111597,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
125333,Alcyonium digitatum,7277,Epifaunal,Yes,Alcyonium digitatum,125333,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
129769,Alkmaria romijni,2328,Infaunal,Yes,Alkmaria romijni,129769,Annelida,Polychaeta,Terebellida,Ampharetidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
101891,Ampelisca brevicornis,12024,Both,No,Ampelisca brevicornis,101891,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
101896,Ampelisca diadema,3662,Epifaunal,No,Ampelisca diadema,101896,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,TRUE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
101930,Ampelisca tenuicornis,8890,Epifaunal,No,Ampelisca tenuicornis,101930,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,TRUE,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
