AphiaID,Species,Phylum,Class,Order,Family,Genus
103228,Urothoe elegans,Arthropoda,Malacostraca,Amphipoda,Urothoidae,Urothoe
131516,Pista cristata,Annelida,Polychaeta,Terebellida,Terebellidae,Pista
101445,NA,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca
150534,Antalis entalis,Mollusca,Scaphopoda,Dentaliida,Dentaliidae,Antalis
130261,Scoletoma fragilis,Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma
101908,Ampelisca macrocephala,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca
130365,Nephtys paradoxa,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys
124934,Ophiura sarsii,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura
196377,Antalis occidentalis,Mollusca,Scaphopoda,Dentaliida,Dentaliidae,Antalis
140108,Saxicavella jeffreysi,Mollusca,Bivalvia,Galeommatida,Basterotiidae,Saxicavella
101954,Haploops setosa,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Haploops
104062,Macandrevia cranium,Brachiopoda,Rhynchonellata,Terebratulida,Zeilleriidae,Macandrevia
124933,Ophiura robusta,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura
130344,Aglaophamus malmgreni,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus
101474,NA,Arthropoda,Malacostraca,Amphipoda,Unciolidae,Unciola
111723,Hornera lichenoides,Bryozoa,Stenolaemata,Cyclostomatida,Horneridae,Hornera
124973,Ophiacantha abyssicola,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiacanthidae,Ophiacantha
471226,Exidmonea atlantica,Bryozoa,Stenolaemata,Cyclostomatida,Tubuliporidae,Exidmonea
111448,Reteporella beaniana,Bryozoa,Gymnolaemata,Cheilostomatida,Phidoloporidae,Reteporella
104055,Terebratulina retusa,Brachiopoda,Rhynchonellata,Terebratulida,Cancellothyrididae,Terebratulina
111578,Tessaradoma boreale,Bryozoa,Gymnolaemata,Cheilostomatida,Tessaradomidae,Tessaradoma
138673,NA,Mollusca,Bivalvia,Nuculanida,Yoldiidae,Yoldiella
889,NA,Annelida,Polychaeta,Spionida,NA,NA
110545,Campylaspis horrida,Arthropoda,Malacostraca,Cumacea,Nannastacidae,Campylaspis
