name
Abietinaria abietina
Abra alba
Acanthocardia echinata
Actinauge richardi
Adamsia carciniopados
Aequipecten opercularis
Ahnfeltia plicata
Alaria esculenta
Alcyonidium diaphanum
Alcyonium digitatum
Alkmaria romijni
Ampelisca brevicornis
Ampelisca diadema
Ampelisca spinipes
Ampelisca tenuicornis
Ampharete falcata
Amphianthus dohrnii
Amphiura chiajei
Amphiura filiformis
Anapagurus laevis
Antedon bifida
Aphelochaeta marioni
Aphrodita aculeata
Aporrhais pespelecani
Arcopagia spp.
Arctica islandica
Arenicola marina
Armandia cirrhosa
Ascidiella scabra
Ascophyllum nodosum
Astarte sulcata
Asterias rubens
Asterina gibbosa
Astropecten irregularis
Atelecyclus spp.
Atrina fragilis
Axinella dissimilis
Balanus crenatus
Balanus spp.
Bathyporeia elegans
Bathyporeia pelagica
Bolocera tuediae
Botryllus schlosseri
Brissopsis lyrifera
Buccinum undatum
Bugula turbinata
Caecum armoricum
Callianassa subterranea
Callionymus lyra
Cancer pagurus
Capitella capitata
Carcinus maenas
Caryophyllia smithii
Ceramium virgatum
Cerastoderma edule
Cerastoderma glaucum
Cerianthus lloydii
Chaetopterus variopedatus
Chaetozone setosa
Chondrus crispus
Chorda filum
Chthamalus montagui
Chthamalus stellatus
Ciona intestinalis
Cirratulus cirratus
Cladophora rupestris
Clavelina lepadiformis
Colus gracilis
Conopeum reticulum
Corallina officinalis
Corbula gibba
Cordylophora caspia
Corophium volutator
Corystes cassivelaunus
Crangon allmanni
Crangon crangon
Crepidula fornicata
Crossaster papposus
Ctenolabrus rupestris
Delesseria sanguinea
Dendrodoa grossularia
Dichelopandalus bonnieri
Diplosoma listerianum
Dipturus batis
Distomus variolosus
Ditrupa arietina
Dosinia spp.
Dysidea fragilis
Echinocardium cordatum
Echinocyamus pusillus
Echinus esculentus
Edwardsia ivelli
Electra pilosa
Ensis ensis
Ensis spp.
Eteone spp.
Euclymene spp.
Eulalia spp.
Eumida spp.
Eunicella verrucosa
Eurydice pulchra
Exogone spp.
Flustra foliacea
Fucus ceranoides
Fucus distichus
Fucus serratus
Fucus spiralis
Fucus vesiculosus
Funiculina quadrangularis
Furcellaria lumbricalis
Galathea spp.
Gammarus chevreuxi
Gammarus insensibilis
Gammarus salinus
Gastrosaccus spp.
Glycymeris spp.
Gobius cobitis
Gobius couchi
Halichondria bowerbanki
Halichondria panicea
Halidrys siliquosa
Harmothoe spp.
Hediste diversicolor
Helcion pellucidum
Henricia oculata
Hesionura spp.
Himanthalia elongata
Hippocampus guttulatus
Hippocampus hippocampus
Homarus gammarus
Hyale prevostii
Hydrallmania falcata
Hydrobia ulvae
Idotea pelagica
Inachus dorsettensis
Jassa falcata
Labrus bergylta
Labrus mixtus
Lacuna vincta
Laevicardium spp.
Lagis spp.
Laminaria digitata
Laminaria hyperborea
Lanice conchilega
Lepidonotus spp.
Leptasterias muelleri
Leptochiton spp.
Leptopsammia pruvoti
Liocarcinus depurator
Liocarcinus holsatus
Lithophyllum incrustans
Lithothamnion corallioides
Lithothamnion glaciale
Littorina littorea
Littorina saxatilis
Luidia ciliaris
Luidia sarsi
Lumbrineris spp.
Macoma balthica
Macropipus tuberculatus
Macropodia spp.
Macropodia tenuirostris
Magelona mirabilis
Magelona spp.
Maja squinado
Malacoceros fuliginosus
Mediomastus fragilis
Metridium senile
Modiolus modiolus
Molgula manhattensis
Morchellium argus
Musculus discors
Mya arenaria
Mysella bidentata
Mytilus edulis
Neanthes fucata
Necora puber
Nematostella vectensis
Nemertesia antennina
Nemertesia ramosa
Neocrania anomala
Neomysis integer
Neopentadactyla mixta
Nephrops norvegicus
Nephtys cirrosa
Nephtys hombergii
Neptunea antiqua
Nucella lapillus
Nucula nitidosa
Nucula sulcata
Obelia longissima
Ophelia spp.
Ophiothrix fragilis
Ophiura albida
Ophiura ophiura
Osilinus lineatus
Ostrea edulis
Owenia fusiformis
Pagurus bernhardus
Pagurus prideauxi
Pagurus spp.
Palinurus elephas
Palmaria palmata
Paludinella litorina
Pandalus borealis
Parablennius gattorugine
Patella ulyssiponensis
Patella vulgata
Pecten maximus
Pelvetia canaliculata
Pennatula phosphorea
Pentapora fascialis
Phaxas pellucidus
Philine aperta
Pholas dactylus
Pholoe spp.
Phymatolithon calcareum
Pilumnus spp.
Pionosyllis spp.
Pirimela spp.
Pisidia longicornis
Pisione spp.
