name	AphiaID	Match type	ScientificName	AphiaID_accepted	ScientificName_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Abietinaria abietina	117870	exact	Abietinaria abietina	117870	Abietinaria abietina	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria		abietina	
Abra alba	141433	exact	Abra alba	141433	Abra alba	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra		alba	
Acanthocardia echinata	138992	exact	Acanthocardia echinata	138992	Acanthocardia echinata	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Acanthocardia		echinata	
Actinauge richardi	100930	exact	Actinauge richardi	100930	Actinauge richardi	Animalia	Cnidaria	Anthozoa	Actiniaria	Hormathiidae	Actinauge		richardi	
Adamsia carciniopados	100931	exact	Adamsia carciniopados	445590	Adamsia palliata	Animalia	Cnidaria	Anthozoa	Actiniaria	Hormathiidae	Adamsia		carciniopados	
Aequipecten opercularis	140687	exact	Aequipecten opercularis	140687	Aequipecten opercularis	Animalia	Mollusca	Bivalvia	Pectinida	Pectinidae	Aequipecten		opercularis	
Ahnfeltia plicata	144422	exact	Ahnfeltia plicata	144422	Ahnfeltia plicata	Plantae	Rhodophyta	Florideophyceae	Ahnfeltiales	Ahnfeltiaceae	Ahnfeltia		plicata	
Alaria esculenta	145716	exact	Alaria esculenta	145716	Alaria esculenta	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Alariaceae	Alaria		esculenta	
Alcyonidium diaphanum	111597	exact	Alcyonidium diaphanum	111597	Alcyonidium diaphanum	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Alcyonidiidae	Alcyonidium		diaphanum	
Alcyonium digitatum	125333	exact	Alcyonium digitatum	125333	Alcyonium digitatum	Animalia	Cnidaria	Anthozoa	Alcyonacea	Alcyoniidae	Alcyonium		digitatum	
Alkmaria romijni	129769	exact	Alkmaria romijni	129769	Alkmaria romijni	Animalia	Annelida	Polychaeta	Terebellida	Ampharetidae	Alkmaria		romijni	
Ampelisca brevicornis	101891	exact	Ampelisca brevicornis	101891	Ampelisca brevicornis	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		brevicornis	
Ampelisca diadema	101896	exact	Ampelisca diadema	101896	Ampelisca diadema	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		diadema	
Ampelisca spinipes	101928	exact	Ampelisca spinipes	101928	Ampelisca spinipes	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		spinipes	
Ampelisca tenuicornis	101930	exact	Ampelisca tenuicornis	101930	Ampelisca tenuicornis	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		tenuicornis	
Ampharete falcata	129777	exact	Ampharete falcata	129777	Ampharete falcata	Animalia	Annelida	Polychaeta	Terebellida	Ampharetidae	Ampharete		falcata	
Amphianthus dohrnii	100936	exact	Amphianthus dohrnii	100936	Amphianthus dohrnii	Animalia	Cnidaria	Anthozoa	Actiniaria	Amphianthidae	Amphianthus		dohrnii	
Amphiura chiajei	125073	exact	Amphiura chiajei	125073	Amphiura chiajei	Animalia	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae	Amphiura		chiajei	
Amphiura filiformis	125080	exact	Amphiura filiformis	125080	Amphiura filiformis	Animalia	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae	Amphiura		filiformis	
Anapagurus laevis	107218	exact	Anapagurus laevis	107218	Anapagurus laevis	Animalia	Arthropoda	Malacostraca	Decapoda	Paguridae	Anapagurus		laevis	
Antedon bifida	124201	exact	Antedon bifida	124201	Antedon bifida	Animalia	Echinodermata	Crinoidea	Comatulida	Antedonidae	Antedon		bifida	
Aphelochaeta marioni	129938	exact	Aphelochaeta marioni	129938	Aphelochaeta marioni	Animalia	Annelida	Polychaeta	Terebellida	Cirratulidae	Aphelochaeta		marioni	
Aphrodita aculeata	129840	exact	Aphrodita aculeata	129840	Aphrodita aculeata	Animalia	Annelida	Polychaeta	Phyllodocida	Aphroditidae	Aphrodita		aculeata	
Aporrhais pespelecani	138760	exact	Aporrhais pespelecani	138760	Aporrhais pespelecani	Animalia	Mollusca	Gastropoda	Littorinimorpha	Aporrhaidae	Aporrhais		pespelecani	
Arcopagia spp.	138529	exact	Arcopagia	138529	Arcopagia	Animalia	Mollusca	Bivalvia	Cardiida	Tellinidae	Arcopagia			
Arctica islandica	138802	exact	Arctica islandica	138802	Arctica islandica	Animalia	Mollusca	Bivalvia	Venerida	Arcticidae	Arctica		islandica	
Arenicola marina	129868	exact	Arenicola marina	129868	Arenicola marina	Animalia	Annelida	Polychaeta		Arenicolidae	Arenicola		marina	
Armandia cirrhosa	130485	exact	Armandia cirrhosa	130485	Armandia cirrhosa	Animalia	Annelida	Polychaeta		Opheliidae	Armandia		cirrhosa	
Ascidiella scabra	103719	exact	Ascidiella scabra	103719	Ascidiella scabra	Animalia	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae	Ascidiella		scabra	
Ascophyllum nodosum	145541	exact	Ascophyllum nodosum	145541	Ascophyllum nodosum	Chromista	Ochrophyta	Phaeophyceae	Fucales	Fucaceae	Ascophyllum		nodosum	
Astarte sulcata	138824	exact	Astarte sulcata	138824	Astarte sulcata	Animalia	Mollusca	Bivalvia	Carditida	Astartidae	Astarte		sulcata	
Asterias rubens	123776	exact	Asterias rubens	123776	Asterias rubens	Animalia	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Asterias		rubens	
Asterina gibbosa	123987	exact	Asterina gibbosa	123987	Asterina gibbosa	Animalia	Echinodermata	Asteroidea	Valvatida	Asterinidae	Asterina		gibbosa	
Astropecten irregularis	123867	exact	Astropecten irregularis	123867	Astropecten irregularis	Animalia	Echinodermata	Asteroidea	Paxillosida	Astropectinidae	Astropecten		irregularis	
Atelecyclus spp.	106875	exact	Atelecyclus	106875	Atelecyclus	Animalia	Arthropoda	Malacostraca	Decapoda	Atelecyclidae	Atelecyclus			
Atrina fragilis	146524	exact	Atrina fragilis	146524	Atrina fragilis	Animalia	Mollusca	Bivalvia	Ostreida	Pinnidae	Atrina		fragilis	
Axinella dissimilis	132473	exact	Axinella dissimilis	132473	Axinella dissimilis	Animalia	Porifera	Demospongiae	Axinellida	Axinellidae	Axinella		dissimilis	
Balanus crenatus	106215	exact	Balanus crenatus	106215	Balanus crenatus	Animalia	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus		crenatus	
Balanus spp.	106122	exact	Balanus	106122	Balanus	Animalia	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus			
Bathyporeia elegans	103058	exact	Bathyporeia elegans	103058	Bathyporeia elegans	Animalia	Arthropoda	Malacostraca	Amphipoda	Bathyporeiidae	Bathyporeia		elegans	
Bathyporeia pelagica	103066	exact	Bathyporeia pelagica	103066	Bathyporeia pelagica	Animalia	Arthropoda	Malacostraca	Amphipoda	Bathyporeiidae	Bathyporeia		pelagica	
Bolocera tuediae	100817	exact	Bolocera tuediae	100817	Bolocera tuediae	Animalia	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Bolocera		tuediae	
Botryllus schlosseri	103862	exact	Botryllus schlosseri	103862	Botryllus schlosseri	Animalia	Chordata	Ascidiacea	Stolidobranchia	Styelidae	Botryllus		schlosseri	
Brissopsis lyrifera	124373	exact	Brissopsis lyrifera	124373	Brissopsis lyrifera	Animalia	Echinodermata	Echinoidea	Spatangoida	Brissidae	Brissopsis		lyrifera	
Buccinum undatum	138878	exact	Buccinum undatum	138878	Buccinum undatum	Animalia	Mollusca	Gastropoda	Neogastropoda	Buccinidae	Buccinum		undatum	
Bugula turbinata	111166	exact	Bugula turbinata	834020	Bugulina turbinata	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula		turbinata	
Caecum armoricum	138945	exact	Caecum armoricum	138945	Caecum armoricum	Animalia	Mollusca	Gastropoda	Littorinimorpha	Caecidae	Caecum		armoricum	
Callianassa subterranea	107729	exact	Callianassa subterranea	107729	Callianassa subterranea	Animalia	Arthropoda	Malacostraca	Decapoda	Callianassidae	Callianassa		subterranea	
Callionymus lyra	126792	exact	Callionymus lyra	126792	Callionymus lyra	Animalia	Chordata	Actinopterygii	Perciformes	Callionymidae	Callionymus		lyra	
Cancer pagurus	107276	exact	Cancer pagurus	107276	Cancer pagurus	Animalia	Arthropoda	Malacostraca	Decapoda	Cancridae	Cancer		pagurus	
Capitella capitata	129876	exact	Capitella capitata	129876	Capitella capitata	Animalia	Annelida	Polychaeta		Capitellidae	Capitella		capitata	
Carcinus maenas	107381	exact	Carcinus maenas	107381	Carcinus maenas	Animalia	Arthropoda	Malacostraca	Decapoda	Carcinidae	Carcinus		maenas	
Caryophyllia smithii	1288958	exact	Caryophyllia smithii	135144	Caryophyllia (Caryophyllia) smithii	Animalia	Cnidaria	Anthozoa	Scleractinia	Caryophylliidae	Caryophyllia		smithii	
Ceramium virgatum	377258	exact	Ceramium virgatum	377258	Ceramium virgatum	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Ceramium		virgatum	
Cerastoderma edule	138998	exact	Cerastoderma edule	138998	Cerastoderma edule	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Cerastoderma		edule	
Cerastoderma glaucum	138999	exact	Cerastoderma glaucum	138999	Cerastoderma glaucum	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Cerastoderma		glaucum	
Cerianthus lloydii	283798	exact	Cerianthus lloydii	283798	Cerianthus lloydii	Animalia	Cnidaria	Anthozoa	Spirularia	Cerianthidae	Cerianthus		lloydii	
Chaetopterus variopedatus	129914	exact	Chaetopterus variopedatus	129914	Chaetopterus variopedatus	Animalia	Annelida	Polychaeta		Chaetopteridae	Chaetopterus		variopedatus	
Chaetozone setosa	129955	exact	Chaetozone setosa	129955	Chaetozone setosa	Animalia	Annelida	Polychaeta	Terebellida	Cirratulidae	Chaetozone		setosa	
Chondrus crispus	145625	exact	Chondrus crispus	145625	Chondrus crispus	Plantae	Rhodophyta	Florideophyceae	Gigartinales	Gigartinaceae	Chondrus		crispus	
Chorda filum	145722	exact	Chorda filum	145722	Chorda filum	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Chordaceae	Chorda		filum	
Chthamalus montagui	106230	exact	Chthamalus montagui	106230	Chthamalus montagui	Animalia	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus		montagui	
Chthamalus stellatus	106231	exact	Chthamalus stellatus	106231	Chthamalus stellatus	Animalia	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus		stellatus	
Ciona intestinalis	103732	exact	Ciona intestinalis	103732	Ciona intestinalis	Animalia	Chordata	Ascidiacea	Phlebobranchia	Cionidae	Ciona		intestinalis	
Cirratulus cirratus	129959	exact	Cirratulus cirratus	129959	Cirratulus cirratus	Animalia	Annelida	Polychaeta	Terebellida	Cirratulidae	Cirratulus		cirratus	
Cladophora rupestris	145064	exact	Cladophora rupestris	145064	Cladophora rupestris	Plantae	Chlorophyta	Ulvophyceae	Cladophorales	Cladophoraceae	Cladophora		rupestris	
Clavelina lepadiformis	103552	exact	Clavelina lepadiformis	103552	Clavelina lepadiformis	Animalia	Chordata	Ascidiacea	Aplousobranchia	Clavelinidae	Clavelina		lepadiformis	
Colus gracilis	138899	exact	Colus gracilis	138899	Colus gracilis	Animalia	Mollusca	Gastropoda	Neogastropoda	Buccinidae	Colus		gracilis	
Conopeum reticulum	111351	exact	Conopeum reticulum	111351	Conopeum reticulum	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Electridae	Conopeum		reticulum	
