SpeciesName,devmech
"Clymenura spp.",Lecithotrophic
"Parametaphoxus spp.",Planktotrophic
"Harpinia spp.",Planktotrophic
"Antedon bifida",Planktotrophic
"Asterias rubens",Planktotrophic
"Bugula turbinata",Lecithotrophic
"Cancer pagurus",Planktotrophic
"Carcinus maenas",Planktotrophic
"Chthamalus montagui",Planktotrophic
"Chthamalus stellatus",Planktotrophic
"Ciona intestinalis",Lecithotrophic
"Ciona intestinalis",Oviparous
"Jassa falcata","Direct Development"
"Nematostella vectensis","See additional information"
"Nemertesia ramosa",Lecithotrophic
"Neomysis integer",Ovoviviparous
"Semibalanus balanoides",Planktotrophic
"Semibalanus balanoides",Lecithotrophic
"Pomatoschistus microps",Oviparous
"Sagitta spp.","Direct Development"
"Alcyonium digitatum",Lecithotrophic
"Lacuna vincta",Planktotrophic
"Vesicularia spp.",Planktotrophic
"Amphianthus dohrnii","Not relevant"
"Poecilochaetus spp.",Planktotrophic
"Jasmineira spp.",Lecithotrophic
"Bugula turbinata","Viviparous (No Care)"
"Caecum armoricum","Insufficient information"
"Crangon crangon",Planktotrophic
"Crepidula fornicata",Planktotrophic
"Delesseria sanguinea","Spores (sexual / asexual)"
"Dipturus batis",Oviparous
"Electra pilosa",Planktotrophic
"Bispira spp.",Planktotrophic
"Sagitta spp.",Planktotrophic
"Gammarus insensibilis","Direct Development"
"Gammarus salinus","Direct Development"
"Gobius couchi",Oviparous
"Halichondria bowerbanki","Viviparous (Parental Care)"
"Halichondria panicea",Lecithotrophic
"Halichondria panicea",Ovoviviparous
"Hediste diversicolor",Lecithotrophic
"Hediste diversicolor",Oviparous
"Helcion pellucidum",Planktotrophic
"Henricia oculata",Lecithotrophic
"Henricia oculata","Direct Development"
"Hyale prevostii","Direct Development"
"Laminaria digitata","Spores (sexual / asexual)"
"Hydrallmania spp.",Lecithotrophic
"Verruca spp.",Planktotrophic
"Sepiola spp.",Oviparous
"Sepiola spp.","Direct Development"
"Neopentadactyla mixta","Insufficient information"
"Obelia longissima",Planktotrophic
"Obelia longissima",Lecithotrophic
"Osilinus lineatus",Planktotrophic
"Osilinus lineatus",Lecithotrophic
"Ostrea edulis",Planktotrophic
"Palinurus elephas",Planktotrophic
"Palinurus elephas",Oviparous
"Palmaria palmata","Spores (sexual / asexual)"
"Paludinella litorina","Insufficient information"
"Patella ulyssiponensis",Planktotrophic
"Patella vulgata",Planktotrophic
"Pecten maximus",Planktotrophic
"Pentapora fascialis",Lecithotrophic
"Philine aperta",Planktotrophic
"Pholas dactylus",Planktotrophic
"Phymatolithon calcareum","Insufficient information"
"Timoclea spp.",Lecithotrophic
"Venus spp.",Lecithotrophic
"Pomatoschistus minutus",Oviparous
"Protanthea simplex",Lecithotrophic
"Protanthea simplex",Oviparous
"Rhodothamniella floridula","Spores (sexual / asexual)"
"Tapes spp.",Lecithotrophic
"Clausinella spp.",Lecithotrophic
