SpeciesName,envpos
"Funiculina quadrangularis",Epibenthic
"Sagartiogeton undatus",Epibenthic
"Chaetopterus variopedatus",Epifaunal
"Edwardsia ivelli",Infaunal
"Electra pilosa",Epifaunal
"Electra pilosa",Epilithic
"Electra pilosa",Epiphytic
"Electra pilosa",Epizoic
"Electra pilosa",Epibenthic
"Eunicella verrucosa",Epibenthic
"Eunicella verrucosa",Epifaunal
"Eurydice pulchra",Infaunal
"Tellina fabula",Infaunal
"Flustra foliacea",Epibenthic
"Flustra foliacea",Epifaunal
"Flustra foliacea",Epilithic
"Abra alba",Infaunal
"Alcyonium digitatum",Epifaunal
"Alcyonium digitatum",Epilithic
"Amphianthus dohrnii",Epizoic
"Amphiura chiajei",Infaunal
"Amphiura filiformis",Infaunal
"Antedon bifida",Epibenthic
"Antedon bifida",Epifaunal
"Antedon bifida",Epilithic
"Aphelochaeta marioni",Infaunal
"Aphrodita aculeata",Infaunal
"Arctica islandica",Infaunal
"Arenicola marina",Infaunal
"Armandia cirrhosa",Infaunal
"Ascidiella scabra",Epibenthic
"Ascidiella scabra",Epifaunal
"Ascidiella scabra",Epilithic
"Ascidiella scabra",Epifloral
"Ascidiella scabra",Epiphytic
"Ascidiella scabra",Epizoic
"Asterias rubens",Epibenthic
"Atrina fragilis",Infaunal
"Axinella dissimilis",Epibenthic
"Axinella dissimilis",Epilithic
"Balanus crenatus",Epifaunal
"Balanus crenatus",Epilithic
"Bathyporeia pelagica",Infaunal
"Botryllus schlosseri",Epifaunal
"Botryllus schlosseri",Epilithic
"Brissopsis lyrifera",Infaunal
"Bugula turbinata",Epibenthic
"Bugula turbinata",Epifaunal
"Bugula turbinata",Epilithic
"Callianassa subterranea",Infaunal
"Cancer pagurus",Epibenthic
"Capitella capitata",Infaunal
"Carcinus maenas",Epibenthic
"Cerastoderma edule",Infaunal
"Chthamalus montagui",Epifaunal
"Chthamalus montagui",Epilithic
"Chthamalus stellatus",Epifaunal
"Chthamalus stellatus",Epilithic
"Cirratulus cirratus",Infaunal
"Clavelina lepadiformis",Epibenthic
"Clavelina lepadiformis",Epifaunal
"Clavelina lepadiformis",Epilithic
"Thieliana navis",Epifaunal
"Conopeum reticulum",Epifaunal
"Corbula gibba",Infaunal
"Cordylophora caspia",Epibenthic
"Cordylophora caspia",Epifaunal
"Cordylophora caspia",Epilithic
"Cordylophora caspia",Epiphytic
"Cordylophora caspia",Epizoic
"Corophium volutator",Infaunal
"Crepidula fornicata",Epibenthic
"Crepidula fornicata",Epifaunal
"Ciona intestinalis",Epifaunal
"Conopeum reticulum",Epibenthic
"Crepidula fornicata",Epizoic
"Echinocardium cordatum",Infaunal
"Funiculina quadrangularis",Epifaunal
"Gammarus insensibilis",Epifaunal
"Gammarus salinus",Epibenthic
"Halichondria bowerbanki",Epifaunal
"Halichondria bowerbanki",Epilithic
"Halichondria panicea",Epiphytic
"Halichondria panicea",Epilithic
"Hediste diversicolor",Infaunal
"Helcion pellucidum",Epifaunal
"Henricia oculata",Epifaunal
"Hyale prevostii",Epifaunal
"Hyale prevostii",Epifloral
"Hyale prevostii",Epibenthic
"Echinus esculentus",Epifaunal
"Jassa falcata",Epibenthic
"Jassa falcata",Epiphytic
"Lacuna vincta",Epifaunal
"Lanice conchilega",Infaunal
