SpeciesName,feedingmethod
"Caryophyllia smithii","Passive suspension feeder"
"Amphianthus dohrnii","Passive suspension feeder"
"Leptopsammia pruvoti",Predator
"Tellina fabula","Surface deposit feeder"
"Asterias rubens",Scavenger
"Balanus crenatus","Passive suspension feeder"
"Hediste diversicolor","Surface deposit feeder"
"Hediste diversicolor",Omnivore
"Henricia oculata",Omnivore
"Gammarus insensibilis",Herbivore
"Gammarus salinus",Herbivore
"Halichondria bowerbanki","Active suspension feeder"
"Hediste diversicolor",Scavenger
"Jassa falcata",Predator
"Nematostella vectensis","Passive suspension feeder"
"Neomysis integer","Active suspension feeder"
"Paludinella litorina","Sub-surface deposit feeder"
"Pomatoschistus microps",Predator
"Thyasira gouldi","Symbiont contribution"
"Truncatella subcylindrica","Sub-surface deposit feeder"
"Virgularia mirabilis","Passive suspension feeder"
"Dipturus batis",Predator
"Edwardsia ivelli","Passive suspension feeder"
"Ensis ensis","Active suspension feeder"
"Gobius cobitis",Omnivore
"Gobius couchi",Omnivore
"Palinurus elephas",Omnivore
"Philine aperta",Predator
"Philine aperta",Scavenger
"Pomatoschistus minutus",Predator
"Talitrus saltator",Omnivore
"Tenellia adspersa",Predator
"Urticina felina",Predator
"Zostera marina",Photoautotroph
"Asterina gibbosa",Omnivore
"Hippocampus hippocampus",Predator
"Semibalanus balanoides","Passive suspension feeder"
"Carcinus maenas",Omnivore
"Crangon crangon",Omnivore
"Actinauge richardi","Passive suspension feeder"
"Cancer pagurus",Predator
"Asterina gibbosa",Predator
"Ahnfeltia plicata",Photoautotroph
"Alaria esculenta",Photoautotroph
"Alcyonium digitatum","Active suspension feeder"
"Alkmaria romijni","Surface deposit feeder"
"Antedon bifida","Passive suspension feeder"
"Aphelochaeta marioni","Surface deposit feeder"
"Arenicola marina","Sub-surface deposit feeder"
"Armandia cirrhosa","Sub-surface deposit feeder"
"Ascidiella scabra","Active suspension feeder"
"Ascophyllum nodosum",Photoautotroph
"Atrina fragilis","Active suspension feeder"
"Axinella dissimilis","Active suspension feeder"
"Balanus crenatus","Active suspension feeder"
"Bugula turbinata","Active suspension feeder"
"Caecum armoricum","Sub-surface deposit feeder"
"Ceramium virgatum",Photoautotroph
"Cerastoderma glaucum","Active suspension feeder"
"Chondrus crispus",Photoautotroph
"Chorda filum",Photoautotroph
"Chthamalus montagui","Active suspension feeder"
"Chthamalus stellatus","Active suspension feeder"
"Ciona intestinalis","Active suspension feeder"
"Cladophora rupestris",Photoautotroph
"Clavelina lepadiformis","Active suspension feeder"
"Asterias rubens",Predator
"Conopeum reticulum","Active suspension feeder"
"Corallina officinalis",Photoautotroph
"Corophium volutator","See additional information"
"Corophium volutator","Surface deposit feeder"
"Corophium volutator","Active suspension feeder"
"Crepidula fornicata","Active suspension feeder"
"Delesseria sanguinea",Photoautotroph
"Electra pilosa","Active suspension feeder"
"Eunicella verrucosa","Passive suspension feeder"
"Tellina fabula","Active suspension feeder"
"Fucus ceranoides",Photoautotroph
"Fucus distichus",Photoautotroph
"Fucus serratus",Photoautotroph
"Fucus spiralis",Photoautotroph
"Fucus vesiculosus",Photoautotroph
"Funiculina quadrangularis","Passive suspension feeder"
"Furcellaria lumbricalis",Photoautotroph
"Gammarus salinus","Surface deposit feeder"
"Halichondria panicea","Active suspension feeder"
"Halidrys siliquosa",Photoautotroph
"Hediste diversicolor","Sub-surface deposit feeder"
"Hediste diversicolor","Passive suspension feeder"
"Helcion pellucidum",Herbivore
"Henricia oculata","Passive suspension feeder"
"Himanthalia elongata",Photoautotroph
"Hyale prevostii",Herbivore
"Jassa falcata","Active suspension feeder"
"Lacuna vincta",Herbivore
"Laminaria digitata",Photoautotroph
"Laminaria hyperborea",Photoautotroph
"Saccharina latissima",Photoautotroph
"Leptopsammia pruvoti","Passive suspension feeder"
"Lithophyllum incrustans",Photoautotroph
"Lithothamnion corallioides",Photoautotroph
"Lithothamnion glaciale",Photoautotroph
"Littorina littorea",Herbivore
"Magelona mirabilis","Surface deposit feeder"
"Metridium senile","Passive suspension feeder"
"Molgula manhattensis","Active suspension feeder"
"Morchellium argus","Active suspension feeder"
"Nemertesia ramosa","Passive suspension feeder"
"Neopentadactyla mixta","Passive suspension feeder"
"Obelia longissima","Passive suspension feeder"
"Osilinus lineatus",Herbivore
"Ostrea edulis","Active suspension feeder"
"Palmaria palmata",Photoautotroph
"Paludinella litorina","Surface deposit feeder"
"Patella ulyssiponensis",Herbivore
"Patella vulgata",Herbivore
"Pecten maximus","Active suspension feeder"
"Pelvetia canaliculata",Photoautotroph
"Pentapora fascialis","Active suspension feeder"
"Pholas dactylus","Active suspension feeder"
"Phymatolithon calcareum",Photoautotroph
"Protanthea simplex","Passive suspension feeder"
"Rhodothamniella floridula",Photoautotroph
"Sabellaria alveolata","Active suspension feeder"
"Saccorhiza polyschides",Photoautotroph
"Semibalanus balanoides","Active suspension feeder"
"Thieliana navis","Passive suspension feeder"
"Thyasira gouldi","Active suspension feeder"
"Truncatella subcylindrica","Surface deposit feeder"
"Ulva intestinalis",Photoautotroph
"Umbonula littoralis","Active suspension feeder"
"Venerupis senegalensis","Active suspension feeder"
"Victorella pavida","Active suspension feeder"
"Zostera noltii",Photoautotroph
"Asterina gibbosa",Scavenger
"Cordylophora caspia","Passive suspension feeder"
"Corophium volutator","Grazer (grains/particles)"
"Asterina phylactica",Predator
"Alcyonium digitatum",Predator
"Actinauge richardi",Predator
"Alcyonidium diaphanum","Active suspension feeder"
"Thieliana navis",Predator
"Nematostella vectensis",Predator
"Cordylophora caspia",Predator
"Cerianthus lloydii","Passive suspension feeder"
"Amphianthus dohrnii",Predator
"Caryophyllia smithii",Predator
"Cerianthus lloydii",Predator
"Hydrallmania falcata","Passive suspension feeder"
"Inachus dorsettensis",Omnivore
"Inachus dorsettensis",Scavenger
"Inachus dorsettensis",Predator
"Macropipus tuberculatus",Omnivore
"Macropipus tuberculatus",Scavenger
"Macropipus tuberculatus",Predator
"Macropodia tenuirostris",Omnivore
"Maja squinado",Omnivore
"Maja squinado",Scavenger
"Maja squinado",Predator
"Mediomastus fragilis","Sub-surface deposit feeder"
"Nemertesia antennina","Passive suspension feeder"
"Nucula sulcata","Sub-surface deposit feeder"
"Nucula sulcata",Detritivore
"Sagartiogeton undatus","Passive suspension feeder"
"Scaphander lignarius",Predator
"Leptosynapta inhaerens",Detritivore
"Thyone fusus","Surface deposit feeder"
"Distomus variolosus","Active suspension feeder"
"Pseudocuma longicorne",Detritivore
"Sertularia cupressina",Predator
"Abietinaria abietina",Predator
"Tubularia indivisa",Predator
"Sagartia elegans",Predator
"Nephasoma spp.","Sub-surface deposit feeder"
"Pisione spp.",Predator
"Lepidonotus spp.",Omnivore
"Pholoe spp.",Predator
"Eteone spp.",Predator
"Hesionura spp.",Predator
"Pseudomystides spp.",Predator
"Eulalia spp.",Predator
"Eumida spp.",Predator
"Glycera spp.",Predator
"Drilonereis spp.",Predator
"Protodorvillea spp.",Predator
"Syllis spp.",Predator
"Pionosyllis spp.",Predator
"Exogone spp.",Predator
"Sphaerosyllis spp.",Predator
"Orbinia spp.","Sub-surface deposit feeder"
"Paraonis spp.","Sub-surface deposit feeder"
"Aonides spp.","Surface deposit feeder"
"Laonice spp.","Surface deposit feeder"
"Minuspio spp.","Surface deposit feeder"
"Prionospio spp.","Surface deposit feeder"
"Pisione spp.",Herbivore
"Lepidonotus spp.",Predator
"Eteone spp.",Scavenger
"Eulalia spp.",Scavenger
"Syllis spp.",Herbivore
"Pionosyllis spp.",Herbivore
"Exogone spp.",Herbivore
"Exogone spp.",Detritivore
"Euclymene spp.","Sub-surface deposit feeder"
"Ophelia spp.","Surface deposit feeder"
"Lagis spp.","Sub-surface deposit feeder"
"Scalibragma spp.","Surface deposit feeder"
"Scalibragma spp.","Sub-surface deposit feeder"
"Travisia spp.","Sub-surface deposit feeder"
"Pagurus spp.",Scavenger
"Pagurus spp.","Passive suspension feeder"
"Upogebia spp.","Active suspension feeder"
"Pennatula phosphorea ","Passive suspension feeder"
"Bolocera tuediae",Predator
