SpeciesName,Habit
"Asterina phylactica",NULL
"Amphianthus dohrnii",Attached
"Eunicella verrucosa",Attached
"Sabellaria alveolata",Tubiculous
"Henricia oculata","Free living"
"Sabellaria spinulosa",Tubiculous
"Nematostella vectensis",Attached
"Edwardsia ivelli","Burrow dwelling"
"Gammarus insensibilis","Free living"
"Palinurus elephas","Free living"
"Ostrea edulis",Attached
"Thyasira gouldi","Burrow dwelling"
"Thieliana navis",Attached
"Funiculina quadrangularis",Attached
"Tenellia adspersa","Free living"
"Armandia cirrhosa","Burrow dwelling"
"Atrina fragilis",Attached
"Paludinella litorina","Free living"
"Liocarcinus depurator","Free living"
"Cancer pagurus","Free living"
"Metridium senile",Erect
"Alcyonium digitatum",Erect
"Psammechinus miliaris","Free living"
"Asterias rubens","Free living"
"Ophiothrix fragilis","Free living"
"Alkmaria romijni","Burrow dwelling"
"Pomatoschistus microps","Free living"
"Pomatoschistus minutus","Free living"
"Truncatella subcylindrica","Free living"
"Phymatolithon calcareum","Bed forming"
"Caecum armoricum","Free living"
"Zostera marina",Attached
"Lithothamnion corallioides","Bed forming"
"Leptopsammia pruvoti",Attached
"Lacuna vincta","Free living"
"Alaria esculenta",Attached
"Hydrobia ulvae","Free living"
"Helcion pellucidum","Free living"
"Victorella pavida",Attached
"Gobius cobitis","Free living"
"Gobius couchi","Free living"
"Laminaria hyperborea",Attached
"Echinus esculentus","Free living"
"Lithothamnion glaciale","Bed forming"
"Cerastoderma glaucum","Free living"
"Neopentadactyla mixta","Burrow dwelling"
"Nemertesia ramosa",Attached
"Chthamalus montagui",Attached
"Chthamalus stellatus",Attached
"Osilinus lineatus","Free living"
"Fucus serratus",Attached
"Littorina littorea","Free living"
"Fucus vesiculosus",Attached
"Neocrania anomala",Attached
"Fucus ceranoides",Attached
"Ascophyllum nodosum",Attached
"Fucus spiralis",Attached
"Delesseria sanguinea",Attached
"Botryllus schlosseri",Attached
"Pelvetia canaliculata",Attached
"Protanthea simplex",Attached
"Umbonula littoralis",Attached
"Fucus distichus",Attached
"Himanthalia elongata",Attached
"Pisidia longicornis","Free living"
"Chorda filum",Attached
"Corallina officinalis",Attached
"Ciona intestinalis",Attached
"Saccorhiza polyschides",Attached
"Patella vulgata","Free living"
"Morchellium argus",Attached
"Saccharina latissima","See additional information"
"Semibalanus balanoides",Attached
"Axinella dissimilis",Erect
"Balanus crenatus",Attached
"Cerastoderma edule","Free living"
"Laminaria digitata",Attached
"Pentapora fascialis",Attached
"Jassa falcata",Tubiculous
"Urticina felina",Attached
"Hyale prevostii","Free living"
"Lithophyllum incrustans",Attached
"Virgularia mirabilis",Attached
"Pecten maximus","Free living"
"Amphiura filiformis","Free living"
"Arenicola marina","Burrow dwelling"
"Pholas dactylus","Burrow dwelling"
"Mya arenaria","Burrow dwelling"
"Palmaria palmata",Attached
"Halichondria panicea",Attached
"Zostera noltii",Attached
"Polydora ciliata",Tubiculous
"Philine aperta","Free living"
"Echinocardium cordatum","Burrow dwelling"
"Mytilus edulis",Attached
"Hediste diversicolor","Burrow dwelling"
"Callianassa subterranea","Burrow dwelling"
"Dipturus batis","Free living"
"Chondrus crispus",Attached
"Halidrys siliquosa",Attached
"Ulva intestinalis",Attached
"Macoma balthica","Burrow dwelling"
"Cladophora rupestris",Attached
"Ceramium virgatum",Attached
"Clavelina lepadiformis",Attached
"Carcinus maenas","Free living"
"Nucella lapillus","Free living"
"Cordylophora caspia",Attached
"Antedon bifida","Free living"
"Modiolus modiolus",Attached
"Serpula vermicularis",Tubiculous
"Arctica islandica","Burrow dwelling"
"Crepidula fornicata",Attached
"Aphelochaeta marioni","Burrow dwelling"
"Venerupis senegalensis","Burrow dwelling"
"Patella ulyssiponensis","Free living"
"Bathyporeia pelagica","Free living"
"Conopeum reticulum",Attached
"Flustra foliacea",Attached
"Furcellaria lumbricalis",Attached
"Tellina fabula","Burrow dwelling"
"Magelona mirabilis","Burrow dwelling"
"Lanice conchilega",Tubiculous
"Musculus discors",Attached
"Brissopsis lyrifera","Free living"
"Ahnfeltia plicata",Attached
"Amphiura chiajei","Free living"
"Corophium volutator","Burrow dwelling"
"Eurydice pulchra","Free living"
