SpeciesName,substratum
"Mysella bidentata","See additional information"
"Ensis ensis","Fine clean sand"
"Ensis ensis","Coarse clean sand"
"Electra pilosa",Bedrock
"Electra pilosa","Large to very large boulders"
"Electra pilosa","Small boulders"
"Electra pilosa",Cobbles
"Electra pilosa",Algae
"Electra pilosa","Other species (see additional information)"
"Electra pilosa","Artificial (e.g. metal/wood/concrete)"
"Electra pilosa",Seagrass
"Electra pilosa","Under boulders"
"Electra pilosa",Caves
"Electra pilosa",Overhangs
"Asterina gibbosa",Rockpools
"Eunicella verrucosa","Artificial (e.g. metal/wood/concrete)"
"Eunicella verrucosa",Bedrock
"Tellina fabula","Fine clean sand"
"Tellina fabula","Muddy sand"
"Abra alba","Muddy gravel"
"Abra alba","Sandy mud"
"Abra alba",Mud
"Abra alba","Muddy sand"
"Arctica islandica","Fine clean sand"
"Arenicola marina","Salt marsh"
"Arenicola marina",Seagrass
"Alcyonium digitatum","Large to very large boulders"
"Alcyonium digitatum","Small boulders"
"Alcyonium digitatum",Bedrock
"Alcyonium digitatum","Artificial (e.g. metal/wood/concrete)"
"Alcyonium digitatum",Caves
"Alcyonium digitatum",Overhangs
"Alcyonium digitatum",Cobbles
"Amphianthus dohrnii","Other species (see additional information)"
"Amphiura chiajei",Mud
"Amphiura chiajei","Muddy sand"
"Amphiura filiformis","Muddy sand"
"Amphiura filiformis","Sandy mud"
"Antedon bifida",Algae
"Antedon bifida",Bedrock
"Antedon bifida","Large to very large boulders"
"Aphelochaeta marioni","Fine clean sand"
"Aphelochaeta marioni",Mud
"Aphelochaeta marioni","Muddy sand"
"Aphelochaeta marioni","Sandy mud"
"Aphrodita aculeata","Fine clean sand"
"Aphrodita aculeata","Coarse clean sand"
"Aphrodita aculeata",Mixed
"Aphrodita aculeata",Mud
"Aphrodita aculeata","Muddy sand"
"Aphrodita aculeata","Muddy gravel"
"Arenicola marina",Mixed
"Arenicola marina","Muddy gravel"
"Arenicola marina","Muddy sand"
"Arenicola marina","Sandy mud"
"Arenicola marina","Fine clean sand"
"Armandia cirrhosa","Muddy gravel"
"Ascidiella scabra","Artificial (e.g. metal/wood/concrete)"
"Ascidiella scabra",Bedrock
"Ascidiella scabra","Large to very large boulders"
"Ascidiella scabra","Small boulders"
"Ascidiella scabra",Cobbles
"Ascidiella scabra",Algae
"Ascidiella scabra","Under boulders"
"Flustra foliacea",Bedrock
"Flustra foliacea","Large to very large boulders"
"Flustra foliacea",Mixed
"Flustra foliacea","Small boulders"
"Flustra foliacea",Cobbles
"Bathyporeia pelagica","Water column (pelagic)"
"Asterias rubens","Gravel / shingle"
"Asterias rubens","Coarse clean sand"
"Atrina fragilis","Gravel / shingle"
"Atrina fragilis",Mixed
"Atrina fragilis","Muddy gravel"
"Atrina fragilis","Muddy sand"
"Atrina fragilis",Mud
"Atrina fragilis","Fine clean sand"
"Atrina fragilis","Sandy mud"
"Balanus crenatus",Bedrock
"Balanus crenatus","Artificial (e.g. metal/wood/concrete)"
"Balanus crenatus",Cobbles
"Balanus crenatus","Gravel / shingle"
"Balanus crenatus","Large to very large boulders"
"Balanus crenatus",Pebbles
"Balanus crenatus","Small boulders"
"Bathyporeia pelagica","Fine clean sand"
"Botryllus schlosseri",Bedrock
"Botryllus schlosseri",Cobbles
"Botryllus schlosseri","Large to very large boulders"
"Brissopsis lyrifera",Mud
"Brissopsis lyrifera","Muddy sand"
"Bugula turbinata","Artificial (e.g. metal/wood/concrete)"
"Bugula turbinata",Bedrock
"Bugula turbinata","Large to very large boulders"
"Bugula turbinata","Small boulders"
"Bugula turbinata",Overhangs
"Bugula turbinata",Cobbles
"Bugula turbinata","Crevices / fissures"
"Callianassa subterranea","Muddy sand"
"Cancer pagurus",Cobbles
"Cancer pagurus","Gravel / shingle"
"Cancer pagurus",Pebbles
"Cancer pagurus","Sandy mud"
"Cancer pagurus","Muddy sand"
"Cancer pagurus","Fine clean sand"
"Cancer pagurus","Coarse clean sand"
"Cancer pagurus",Bedrock
"Capitella capitata","Fine clean sand"
"Capitella capitata","Muddy sand"
"Capitella capitata",Mud
"Capitella capitata","Sandy mud"
"Cerastoderma edule","Sandy mud"
"Cerastoderma edule","Muddy sand"
"Cerastoderma edule","Coarse clean sand"
"Cerastoderma edule","Fine clean sand"
"Cerastoderma edule",Seagrass
"Ciona intestinalis","Other species (see additional information)"
"Cerastoderma edule","Muddy gravel"
"Chthamalus montagui","Artificial (e.g. metal/wood/concrete)"
"Chthamalus montagui","Large to very large boulders"
"Chthamalus montagui",Bedrock
"Ciona intestinalis",Algae
"Ciona intestinalis","Artificial (e.g. metal/wood/concrete)"
"Ciona intestinalis",Bedrock
"Ciona intestinalis","Large to very large boulders"
"Ciona intestinalis","Small boulders"
"Cirratulus cirratus","Under boulders"
"Cirratulus cirratus","Muddy gravel"
"Cirratulus cirratus",Mud
"Clavelina lepadiformis","Artificial (e.g. metal/wood/concrete)"
"Clavelina lepadiformis",Bedrock
"Clavelina lepadiformis",Cobbles
"Clavelina lepadiformis","Large to very large boulders"
"Clavelina lepadiformis",Overhangs
"Clavelina lepadiformis","Small boulders"
"Hyale prevostii","Other species (see additional information)"
"Crepidula fornicata","Small boulders"
"Crepidula fornicata",Cobbles
"Crepidula fornicata",Pebbles
"Crepidula fornicata","Muddy gravel"
"Crepidula fornicata","Gravel / shingle"
"Crepidula fornicata","Fine clean sand"
"Crepidula fornicata","Coarse clean sand"
"Crepidula fornicata","Muddy sand"
"Crepidula fornicata","Sandy mud"
"Crepidula fornicata","Other species (see additional information)"
"Echinocardium cordatum","Coarse clean sand"
"Echinocardium cordatum","Fine clean sand"
"Echinocardium cordatum","Muddy sand"
"Echinocardium cordatum","Sandy mud"
"Echinus esculentus",Bedrock
"Echinus esculentus","Large to very large boulders"
"Echinus esculentus","Small boulders"
"Echinus esculentus","Artificial (e.g. metal/wood/concrete)"
"Echinus esculentus",Rockpools
"Echinus esculentus","Under boulders"
"Echinus esculentus",Caves
"Echinus esculentus","Crevices / fissures"
"Echinus esculentus",Overhangs
"Funiculina quadrangularis",Mud
"Gammarus insensibilis",Mud
"Gammarus insensibilis","Muddy sand"
"Gammarus insensibilis","Sandy mud"
"Gammarus salinus",Algae
"Gammarus salinus","Gravel / shingle"
"Gammarus salinus","Coarse clean sand"
"Halichondria bowerbanki",Overhangs
"Halichondria panicea",Bedrock
"Halichondria panicea",Cobbles
"Halichondria panicea","Large to very large boulders"
"Hediste diversicolor","Sandy mud"
"Hediste diversicolor","Muddy sand"
"Hediste diversicolor",Mud
"Helcion pellucidum",Algae
"Henricia oculata",Bedrock
"Henricia oculata","Large to very large boulders"
"Henricia oculata","Small boulders"
"Henricia oculata",Cobbles
"Henricia oculata","Gravel / shingle"
"Henricia oculata",Pebbles
"Hyale prevostii",Algae
"Hydrobia ulvae","Sandy mud"
"Jassa falcata","Other species (see additional information)"
"Lanice conchilega","Coarse clean sand"
"Chaetopterus variopedatus","Crevices / fissures"
"Lanice conchilega","Sandy mud"
"Leptopsammia pruvoti","Small boulders"
"Hydrobia ulvae","Muddy sand"
"Hydrobia ulvae",Mud
"Jassa falcata",Algae
"Jassa falcata","Artificial (e.g. metal/wood/concrete)"
"Jassa falcata",Bedrock
"Lacuna vincta",Algae
"Liocarcinus depurator","Muddy gravel"
"Liocarcinus depurator","Muddy sand"
"Liocarcinus depurator","Fine clean sand"
"Liocarcinus depurator","Coarse clean sand"
"Lithothamnion corallioides",Pebbles
"Lithothamnion corallioides","Gravel / shingle"
"Lithothamnion corallioides",Maerl
"Lithothamnion corallioides","Muddy gravel"
"Lithothamnion corallioides","Coarse clean sand"
"Lithothamnion corallioides","Fine clean sand"
"Lithothamnion corallioides","Sandy mud"
"Lithothamnion glaciale",Bedrock
"Lithothamnion glaciale","Large to very large boulders"
"Lithothamnion glaciale","Small boulders"
"Lithothamnion glaciale",Cobbles
"Lithothamnion glaciale",Pebbles
"Lithothamnion glaciale","Gravel / shingle"
"Lithothamnion glaciale",Maerl
"Littorina littorea",Bedrock
"Littorina littorea","Large to very large boulders"
"Littorina littorea","Small boulders"
"Littorina littorea",Cobbles
"Littorina littorea",Pebbles
"Littorina littorea","Gravel / shingle"
"Littorina littorea","Muddy gravel"
"Littorina littorea","Sandy mud"
"Littorina littorea","Muddy sand"
"Littorina littorea",Mud
"Macoma balthica",Mud
"Macoma balthica","Muddy sand"
"Macoma balthica","Sandy mud"
"Magelona mirabilis","Fine clean sand"
"Magelona mirabilis","Coarse clean sand"
"Metridium senile",Bedrock
